PMNAME,PMUNIT,PMSARATE,PMPURATE,PMMRRATE,PM_GSTPER,PMGROUP
SEVAKKAI 1KG,OTHERS,43.7,0,46,0,GENERAL
SEVAKKAI 500GM,OTHERS,21.85,0,23,0,GENERAL
AACHI RASAM POW100g,OTHERS,58,36.49,58,0,GENERAL
HALDI MONG DALL,OTHERS,50,40.76,50,0,GENERAL
MANIMARK BURFI(C),OTHERS,30,22.58,25,0,GENERAL
MANIMARK SESAME(B),OTHERS,35,26.25,35,0,GENERAL
MANIMARK BURFI 2rs,OTHERS,2,1.67,2,0,GENERAL
MANIMARK BURFI 5rs,OTHERS,28.5,0,30,0,GENERAL
MOUNTAIN DEW 250ML,OTHERS,18,15.92,25,0,GENERAL
MIRROR big,OTHERS,55,25,55,0,GENERAL
MANIMARK FRIEDGRAM(b),OTHERS,35,26.25,35,0,GENERAL
NEEM TOOTH PASTE 100GM,OTHERS,21.85,42.73,47,0,GENERAL
PALMOLIVE BODY WASH 250ML,OTHERS,147,0,147,0,GENERAL
COLGATE HERBAL 200 G,OTHERS,104,85.67,104,0,GENERAL
PALMOLIVE HAND WASH 250ML RFL,OTHERS,140,127,140,0,GENERAL
PALMOLIVE HAND WASH SAVER PACK,OTHERS,89,0,73,0,GENERAL
COCONUTOIL KPL500ml,OTHERS,161,134.2,161,0,GENERAL
FAIR&LOVELY MV9gm,OTHERS,10,8.18,10,0,GENERAL
PRIL WIPES 3NO,OTHERS,99,137.97,149,0,GENERAL
MARLBORO GOLD10/S,OTHERS,175,152,185,0,GENERAL
DHEEPAM 500ML,OTHERS,104,82.5,91,0,GENERAL
J-J-BABY SOAP 75GM,OTHERS,22.8,0,24,0,GENERAL
DABUR RED PASTE 200GM,OTHERS,102,91.45,102,0,GENERAL
AMUL DARK CHO 150G,OTHERS,100,80,100,0,GENERAL
AMUL FRUIT NUT,OTHERS,30,24.99,30,0,GENERAL
ODONIL 50GM,OTHERS,19,32.56,20,0,GENERAL
ODONIL 100GM,OTHERS,72,0,32,0,GENERAL
HOMMADE GINGER GARLIC40GM,OTHERS,4.75,0,5,0,GENERAL
HOMMADE GINGER GARLIC100GM,OTHERS,9.5,0,10,0,GENERAL
HOMMADE GINGER GARLIC 200GM,OTHERS,19.95,0,21,0,GENERAL
ODOMOS CREAM 50GM,OTHERS,27.55,0,29,0,GENERAL
ODOMOS CREAM 25GM,OTHERS,25,22.55,25,0,GENERAL
WHITE CLOTH BAG,OTHERS,14,9,14,0,GENERAL
LIFEBOY SKINCARE 75 G,OTHERS,51,0,13,0,GENERAL
CLOSE-UP LEMOMMIST 40 G,OTHERS,20,16.33,20,0,GENERAL
DABUR VATICA 100ML,OTHERS,45,40.42,45,0,GENERAL
CAD CELEBRATION 126GM,OTHERS,100,91,100,0,GENERAL
ODOMOS GEL 80G,OTHERS,45,0,48,0,GENERAL
ODOMOS CREAM 12G,OTHERS,10,0,9,0,GENERAL
ODOMOS LOTION 120ML,OTHERS,85,75,85,0,GENERAL
ODOMOS LOTION 60ML,OTHERS,50,41.53,50,0,GENERAL
DABUR AMLA  300ML,OTHERS,134,115.24,134,0,GENERAL
DABUR AMLA 50ML,OTHERS,37,18.5,20,0,GENERAL
CAD SILK 231GM,OTHERS,175,140,160,0,GENERAL
VATIKA HAIROIL75ML,OTHERS,18.05,0,20,0,GENERAL
SUPER MAX -1,OTHERS,14.25,0,15,0,GENERAL
PURE PLASTIC PLAYING CARDS,OTHERS,38,0,40,0,GENERAL
RIN LIQUID 35ML,OTHERS,5,4.17,5,0,GENERAL
PLAYING CARDS,OTHERS,55,14.17,55,0,GENERAL
HALDI KHATTA MEETHA150G,OTHERS,30,26.7,30,0,GENERAL
OXFORD EXEL,OTHERS,47.5,0,50,0,GENERAL
RO ROLLMAX,OTHERS,75,56.25,75,0,GENERAL
TIGER  BRAND  KESREI 100GM,OTHERS,26,0,11,0,GENERAL
CLOSEUP RED50gm,OTHERS,20,16.58,20,0,GENERAL
TOO YUMM 42GM,OTHERS,20,12,20,0,GENERAL
DUSTBIN   BAGS,OTHERS,65,0,43,0,GENERAL
TOOTH PICKS SPL,OTHERS,45,6.04,14,0,GENERAL
TOOTH PICKS PLASTICK,OTHERS,45,20,45,0,GENERAL
KUM KUM POO 1GM,OTHERS,76,0,80,0,GENERAL
TIGER  BRAND  TOOL LIGHT,OTHERS,95,0,100,0,GENERAL
ROMIN 25MM LOCK,OTHERS,12.35,0,13,0,GENERAL
TIGER HEAD LIGHT,OTHERS,38,0,40,0,GENERAL
CLOSE-UP 80 G,OTHERS,50,45.5,50,0,GENERAL
SHINGAR DEEP RED,OTHERS,20,13,15,0,GENERAL
M-SEAL 1NO,OTHERS,12,8.5,12,0,GENERAL
PRINCY (CAP),OTHERS,22.8,0,24,0,GENERAL
DIMON KALKANDU50G,OTHERS,10,5,10,0,GENERAL
PRINCY TINY FEEDER,OTHERS,13.3,0,14,0,GENERAL
PRINCY SOOTHER SOFT,OTHERS,6.65,0,7,0,GENERAL
STEEL CLIPS 40MM 1PS,OTHERS,4.75,0,5,0,GENERAL
LOCK  NO 366,OTHERS,142.5,0,150,0,GENERAL
JAWATHU POWDER,OTHERS,13.3,0,14,0,GENERAL
RO MAXTRONREF BLUE1no,OTHERS,20,15.65,20,0,GENERAL
SAKTHI PULIYOGARE50g,OTHERS,22,0,22,0,GENERAL
SAKTHI ANISEED POW50g,OTHERS,21,0,21,0,GENERAL
SAKTHI CORIAN POW50g,OTHERS,15,8,15,0,GENERAL
SAKTHI CHILI CHUT100g,OTHERS,42,26.4,42,0,GENERAL
FRUITNIK 1 L,OTHERS,34.2,140,36,0,GENERAL
CAD BIG B 130GM,OTHERS,100,85,100,0,GENERAL
HATSUN CURD 100GM,OTHERS,10,9,10,0,GENERAL
HATSUN CURD 200GM,OTHERS,20,16,18,0,GENERAL
GILL VEC ELHDL RAZOR,OTHERS,60,52.5,60,0,GENERAL
GIL 7OCLK SPLT 100S,OTHERS,55,43.2,55,0,GENERAL
DABUR RED 50 G,OTHERS,20,17.1,20,0,GENERAL
MEDIMIX SANDAL75g,OTHERS,26,27.27,30,0,GENERAL
HANGROW TOMATO150G,OTHERS,90,75,90,0,GENERAL
HANGROW CHEESE150G,OTHERS,90,75,90,0,GENERAL
RAJARAM POPCORN,OTHERS,25,20,25,0,GENERAL
KALKANDU100g,OTHERS,20,7.2,20,0,GENERAL
TWO MAX BOTTLE,OTHERS,30.4,0,32,0,GENERAL
TENNIS BALL,OTHERS,14.25,0,15,0,GENERAL
NEEM 125 G,OTHERS,23.75,0,25,0,GENERAL
KNIFE,OTHERS,65,28,15,0,GENERAL
GAS CLIPPPER,OTHERS,198,110,180,0,GENERAL
MIRINDA CAN 300ML,OTHERS,30,16.17,30,0,GENERAL
REYNOLDS MARKER,OTHERS,30,17.53,30,0,GENERAL
EVERYDAY CELL,OTHERS,0,0,0,0,GENERAL
VICKS 50 G,OTHERS,8.55,0,9,0,GENERAL
PRINCY MINI JUICY CUP,OTHERS,22.8,0,24,0,GENERAL
GONEMAD BIG,OTHERS,10,8.57,10,0,GENERAL
SOFIA-HANKY PERFUME,OTHERS,14.25,0,15,0,GENERAL
ODOMAS 100 G,OTHERS,92,79.46,92,0,GENERAL
AACHI TAMARIND RICE50G,OTHERS,20,0,20,0,GENERAL
NESCAFE ICED LATTE,OTHERS,50,33,50,0,GENERAL
COTHAS COFFE200gm,OTHERS,106,95.4,102,0,GENERAL
AASHIRVAAD ATTA 500G,OTHERS,31,25.54,31,0,GENERAL
MOCHAI 500 G,OTHERS,24.7,0,26,0,GENERAL
RAGIMALT 250 G,OTHERS,14.25,0,15,0,GENERAL
THENAI 1KG,OTHERS,160,85,160,0,GENERAL
JAV VARICI 250 G,OTHERS,9.5,0,10,0,GENERAL
JAV VARICI 100 G,OTHERS,4.75,0,5,0,GENERAL
ODOMAS 50 G,OTHERS,50,43.29,50,0,GENERAL
KUNDU MANJAL 50 G,OTHERS,5.7,0,6,0,GENERAL
KUNDU MANJAL 100 G,OTHERS,15,10.4,12,0,GENERAL
KOLLU 250 G,OTHERS,40,0,30,0,GENERAL
KAMBU1kg,OTHERS,68,35,72,0,GENERAL
MTR VEGETABLE SOUP,OTHERS,24.7,43.64,26,0,GENERAL
MTR TOMATO SOUP,OTHERS,24.7,0,26,0,GENERAL
MTR RASAGOLA500G,OTHERS,115,104.54,115,0,GENERAL
MTR MIXED VEGETABLE,OTHERS,38,0,40,0,GENERAL
MTR TOMATO RICE,OTHERS,18.05,0,19,0,GENERAL
MTR ONION SOUP,OTHERS,24.7,0,26,0,GENERAL
SUNFEAST ORANGE MARIE,OTHERS,11.4,11.03,12,0,GENERAL
MTR CARROT SOUP,OTHERS,24.7,0,26,0,GENERAL
MTR BADAM DRINK,OTHERS,45,40.91,45,0,GENERAL
PLAS DUST PAN SS(S),OTHERS,45,26.25,45,0,GENERAL
MTR RAGI POTI,OTHERS,27.55,0,29,0,GENERAL
MTR ALU PORATHA,OTHERS,36.1,0,38,0,GENERAL
SOFT TOUCH120ML,OTHERS,25,22.22,25,0,GENERAL
JUICY FURIT,OTHERS,6,0,5,0,GENERAL
RED LABEL 500GM,NOS,265,247.67,265,0,GENERAL
CRYSTAL SALT 1 KG,OTHERS,15,0,8,0,GENERAL
SUNFEAST MARIE LIGHT,OTHERS,30,20,25,0,GENERAL
SPEARMINT,OTHERS,9.5,0,10,0,GENERAL
ORBIT,OTHERS,5,4.43,5,0,GENERAL
SCRUBBER MEDIUM,OTHERS,10,3.5,10,0,GENERAL
HALLS,OTHERS,49.4,0,52,0,GENERAL
BINDU APPLAM,OTHERS,38,30.5,38,0,GENERAL
OMAM 50G,OTHERS,30,0,30,0,GENERAL
MAAZA 250ML,OTHERS,70,56,20,0,GENERAL
TOILET ROLL,OTHERS,114,0,120,0,GENERAL
SOAP CASE-A,OTHERS,25,6,25,0,GENERAL
J.RICE TRAN 1KG,OTHERS,150,76,150,0,GENERAL
SOAP CASE-B,OTHERS,35,12,35,0,GENERAL
SOAP CASE-C,OTHERS,10,0,10,0,GENERAL
SOAP CASE-D,OTHERS,11.4,0,12,0,GENERAL
SOYS BEANS 250 G,OTHERS,24.7,0,26,0,GENERAL
GILL WINNER 1PACK,OTHERS,26,18.53,26,0,GENERAL
PEPSODENT 15 G,OTHERS,10,8.77,10,0,GENERAL
J.RICE TRAN 200GM,OTHERS,30,15.2,30,0,GENERAL
JATHI BATRI 25 G,OTHERS,76,0,15,0,GENERAL
PNTN LB 10ML,OTHERS,4,3.32,4,0,GENERAL
URAD DHALL FULL500G(F),OTHERS,70,53,70,0,GENERAL
SCISSOR STEAL 306,OTHERS,15,8,15,0,GENERAL
PATTANI TOASTED 200GM,OTHERS,50,21,36,0,GENERAL
TIDE 3IN1 500GM,OTHERS,53,46.1,53,0,GENERAL
TRIANGLE VATHAL 100 G,OTHERS,9.5,0,10,0,GENERAL
KESARI POWER,OTHERS,3,1.25,3,0,GENERAL
TOP RAMAN CURRY280g,OTHERS,80,70.66,80,0,GENERAL
INDICA HAIR DIE,OTHERS,30,27.27,30,0,GENERAL
GOOD NIGHT (60 DAYS),OTHERS,144,29.67,60,0,GENERAL
MILK TREAT,OTHERS,18.05,0,19,0,GENERAL
KWALITY KESPISTA700ML,OTHERS,165,137.5,165,0,GENERAL
TIDE MATIC 1KG,OTHERS,160,139.33,160,0,GENERAL
APPY 200 ML,OTHERS,18,16.33,18,0,GENERAL
H&S CM 9ML,OTHERS,4,3.26,4,0,GENERAL
CAD CELEBRATION 250GM,OTHERS,275,245.54,275,0,GENERAL
CLINIC PLUS 400 ML,OTHERS,153,136.36,153,0,GENERAL
CLINIC PLUS 40 ML,OTHERS,10,9.09,10,0,GENERAL
PEPSODENT 2 IN 1 80 G,OTHERS,52,47.27,52,0,GENERAL
IODEX 16gm,OTHERS,80,58.33,80,0,GENERAL
PAPER GREEN,OTHERS,2,0,2,0,GENERAL
MILK TREAT 150 G,OTHERS,8.55,0,9,0,GENERAL
DABUR VATICA 300ML,OTHERS,167,158,167,0,GENERAL
PRIL LIQUID 425 ML,OTHERS,100,88.88,100,0,GENERAL
TUPPERW WATER BOT,OTHERS,248,0,29,0,GENERAL
KWALITY FRUIT&NUT 700ML,OTHERS,160,133.33,160,0,GENERAL
TOP RAMAN CURRY70g,OTHERS,20,17.67,20,0,GENERAL
FILE BOX1no,OTHERS,105,50,105,0,GENERAL
PRE KITCHEN TOWEL 4NO,OTHERS,260,200,260,0,GENERAL
GARNIER FACE WASH 50 ML,OTHERS,180,162.88,180,0,GENERAL
MILK BIKIES bri80g,OTHERS,10,9.05,10,0,GENERAL
GOKUL SANDAL 300 G,OTHERS,108.3,90,114,0,GENERAL
GOKUL SANDAL 140 G,OTHERS,110,100.01,110,0,GENERAL
KESAVARTHINI OIL,OTHERS,18.05,0,19,0,GENERAL
COMPLAN CHO(r)200g,OTHERS,115,103.92,115,0,GENERAL
CINTHOL SOAP,OTHERS,49,41.78,49,0,GENERAL
LIFEBOY TOTAL,OTHERS,27,23.04,22,0,GENERAL
MORTEIN MATS,OTHERS,35,0,38,0,GENERAL
POWER CHALK,OTHERS,16,7,16,0,GENERAL
COMB LICE,OTHERS,25,8,20,0,GENERAL
NICE TIME73g,OTHERS,10,9,10,0,GENERAL
MILK BIKIES bri200g,OTHERS,30,24.55,27,0,GENERAL
NIR PUTTU WHITE500G,OTHERS,53,44.16,52,0,GENERAL
PLASTIC BUCK SUN 300(P),OTHERS,190,100,190,0,GENERAL
PLASTIC BUC SUN250(P),OTHERS,398,205,398,0,GENERAL
PLASTIC BUCK SUN(D)250,OTHERS,425,270,425,0,GENERAL
MAX PROTEIN 60G,OTHERS,40,25.67,40,0,GENERAL
PAD LOCK 20MM,OTHERS,40,23.33,40,0,GENERAL
PLASTIC BROOM,OTHERS,99,49,88,0,GENERAL
HOLES DUSTBIN,OTHERS,14.25,0,15,0,GENERAL
PLASTIC BUCK 300(D),OTHERS,175,205,175,0,GENERAL
PLASTIC MUG SUN(B),OTHERS,55,23,50,0,GENERAL
SUNFEAST SWEET&SALT,OTHERS,6.18,0,6.5,0,GENERAL
PLASTIC BUCKET 900 DC,OTHERS,76,0,80,0,GENERAL
AISHWARYAM OIL1/2lr,OTHERS,96,78.02,90,0,GENERAL
PAD LOCK 40MM,OTHERS,95,40,110,0,GENERAL
AACHI BONDA MIX 200 G,OTHERS,33,18.47,33,0,GENERAL
J&J COLLECTION (BIG),OTHERS,21,0,21,0,GENERAL
J&J COLLECTION (MEDIUM),OTHERS,93.1,0,98,0,GENERAL
J&J COLLECTION (SMALL),OTHERS,45.6,0,48,0,GENERAL
NICE TIME 150 G,OTHERS,10,9.04,10,0,GENERAL
SPONGE COLOUR 1NO,OTHERS,14,8,14,0,GENERAL
TATA SALT LIGHT 1kg,OTHERS,40,35,45,0,GENERAL
AASHIRVAAD GULAB200G,OTHERS,130,118.19,130,0,GENERAL
SOAN PAPADI 500 G,OTHERS,64.6,0,68,0,GENERAL
SOAN PAPADI 250 G SP,OTHERS,55.1,0,58,0,GENERAL
AISHWARYAM OIL1lr,OTHERS,165,137.5,165,0,GENERAL
7UP 500 ML,OTHERS,40,29,40,0,GENERAL
MAGGI  BANGKOK 73G,OTHERS,20,17.81,20,0,GENERAL
50 & 50 bri76g,OTHERS,10,9.04,10,0,GENERAL
J&J BABY LOTION 200 ML,OTHERS,77.9,0,82,0,GENERAL
J&J BABY MILK LOTION 100 ML,OTHERS,55.1,0,58,0,GENERAL
J&J BABY MILK LOTION 50 ML,OTHERS,36.1,0,38,0,GENERAL
J&J BABY MILK LOTION 200 ML,OTHERS,81.7,0,86,0,GENERAL
J&J BABY OIL 200 ML,OTHERS,112.1,0,118,0,GENERAL
J&J BABY OIL 500 ML,OTHERS,180.5,0,190,0,GENERAL
J&J BABY SHAMPOO 475 ML,OTHERS,171,0,180,0,GENERAL
J&J BABY SHAMPOO 200 ML,OTHERS,112.1,0,118,0,GENERAL
J&J BABY SHAMPOO 100 ML,OTHERS,66.5,0,70,0,GENERAL
J&J BABY SHAMPOO 50 ML,OTHERS,36.1,0,38,0,GENERAL
R-R-S SUGAR 1 KG,OTHERS,15.2,0,16,0,GENERAL
HIDE&SEEK,OTHERS,30,0,30,0,GENERAL
J&J BABY HAIR OIL 200 ML,OTHERS,72.2,0,76,0,GENERAL
BROOM ROUND SOFT(J),OTHERS,140,79,140,0,GENERAL
VASELINE DRY SKIN40ml,OTHERS,40,0,40,0,GENERAL
PAMPERS L (25 +3),OTHERS,72,60.29,290,0,GENERAL
PAMPERS L (10+2),OTHERS,48,40.9,48,0,GENERAL
PAMPERS M (10+2),OTHERS,40,34.09,40,0,GENERAL
PAMPERS S (10+2),OTHERS,108.3,0,114,0,GENERAL
PAMPERS M (5),OTHERS,136,113.91,136,0,GENERAL
PAMPERS S (5),OTHERS,40.85,24.53,43,0,GENERAL
PAMPERS L (5),OTHERS,80,67.01,80,0,GENERAL
SUNFEAST MILKY MAGIC,OTHERS,10,8.87,10,0,GENERAL
WHISPER REGULAR (10PS),OTHERS,75,48.44,75,0,GENERAL
WHISPER WINGA (20 PS),OTHERS,415,147.78,415,0,GENERAL
WHISPER  CHOICE F&W,OTHERS,42,37.84,42,0,GENERAL
MOP SET T LAMIN(B),OTHERS,160,73.16,160,0,GENERAL
GILL MACH3 START,OTHERS,290,64.28,290,0,GENERAL
GILL 7O TWIN BLADE,OTHERS,75,65.61,75,0,GENERAL
GILL VENUS BREEZE RAZ,OTHERS,325,279.66,325,0,GENERAL
GILLETTE WILKISON BLADE,OTHERS,20,0,10,0,GENERAL
SPLIT RICE 1 KG,OTHERS,11.4,0,12,0,GENERAL
K-G PERUNGAYAM,OTHERS,4.75,0,5,0,GENERAL
BOVONTO 200ML,OTHERS,12,10,12,0,GENERAL
SCRUBBER BIG,OTHERS,15,6,15,0,GENERAL
FAIR AND HANDSOME 60 ML,OTHERS,78,70.91,85,0,GENERAL
MONACO CHEESE30JAR,OTHERS,50,44.65,50,0,GENERAL
PARLE MARIE,OTHERS,30,27,30,0,GENERAL
EVER SABJI MAS50g,OTHERS,30,25.4,30,0,GENERAL
PARLE-G GULCO 79-2 G,OTHERS,2.61,30.8,2.75,0,GENERAL
GILL GUARD 6ct,OTHERS,50,39.77,50,0,GENERAL
MANIMARK BURFI(G),OTHERS,25,18.75,25,0,GENERAL
50&50 MASALA bri50g,OTHERS,10,8.5,10,0,GENERAL
KAMAKSHI S COCAO POWDER 50 G,OTHERS,24.7,0,26,0,GENERAL
KAMAKSHI S CUSTARD POWDER 50 G,OTHERS,12.35,0,13,0,GENERAL
KAMAKSHI S RAGIMALT 200 G,OTHERS,19,0,20,0,GENERAL
KAMAKSHI S ICE CREAM POWDER 100G,OTHERS,17.1,0,18,0,GENERAL
KAM ACTIVE DAY YEAST 25 G,OTHERS,14.25,0,15,0,GENERAL
LAKME KAJAL BLACK.35G,OTHERS,180,151.58,180,0,GENERAL
KAM CITRIC ACID CRYSTAL 50 G,OTHERS,12.35,0,13,0,GENERAL
EVER KITCH KING MAS50g,OTHERS,37,31.08,37,0,GENERAL
KSM CUP SAMRANI,OTHERS,100,55,100,0,GENERAL
LAKME PEACH MILK60ML,OTHERS,99,96,99,0,GENERAL
KRACK JAGK 75 G,OTHERS,10,0,6.5,0,GENERAL
SHARP STOVE PIN 2 PS,OTHERS,1.9,0,2,0,GENERAL
SHINGIVE STOVE BURNER,OTHERS,66.5,0,70,0,GENERAL
VENUS STOVE BURNER,OTHERS,60,0,50,0,GENERAL
INK BOTTLE,OTHERS,9.5,0,10,0,GENERAL
UNIBIC BUTER COOKIES 150 G,OTHERS,20,22.72,25,0,GENERAL
RORITO FLYMAXGEL BLUE1no,OTHERS,10,6.77,10,0,GENERAL
UNIBIC CASHEW COOKIES 75 G,OTHERS,5,0,11,0,GENERAL
UNIBIC BUTTER COOKIES 75 G,OTHERS,10,9,10,0,GENERAL
PITANBARI POWDER 200 G,OTHERS,60,35.27,58,0,GENERAL
J-K-S RUBBER BAND,OTHERS,6.65,0,7,0,GENERAL
ARALDITE13GM,OTHERS,55,48,55,0,GENERAL
HALIDRAM S CORNFLAKES 150 G,OTHERS,27.55,0,29,0,GENERAL
HALDI LAHSUN SEV,OTHERS,25,21.02,25,0,GENERAL
HALDI CHATP DHAL150g,OTHERS,35,29.44,35,0,GENERAL
HALDI DRY FURIT150g,OTHERS,70,62.3,70,0,GENERAL
PUNJAB TADKA 150 G,OTHERS,20.9,0,22,0,GENERAL
HALDI CHANA NUTS150g,OTHERS,32,27.69,32,0,GENERAL
HALDI  FAT BHEL70g,OTHERS,5,4.42,16,0,GENERAL
INDIAN MANIA BALLS 125 G,OTHERS,10.45,0,11,0,GENERAL
INDIAN COCONUT BALLS 125 G,OTHERS,10.45,0,11,0,GENERAL
"CELLO TAPE 1""INCH",OTHERS,25,13.33,25,0,GENERAL
INDIAN COCOA CHIKKI 125 G,OTHERS,10.45,0,11,0,GENERAL
INDIAN FLAI BARPI 125 G,OTHERS,10.45,0,11,0,GENERAL
UNI CASHEW BUTTER COOKIES150 G,OTHERS,20,18.18,20,0,GENERAL
BUTTER BISCUIT,OTHERS,65,18,30,0,GENERAL
TRO POMEGRANATE 1LTR,OTHERS,110,94.77,110,0,GENERAL
TRO ORANGE 100%,OTHERS,135,118.8,135,0,GENERAL
TRO APPLE 100%,OTHERS,135,118.8,135,0,GENERAL
TRP PRE STAW MIX,OTHERS,64.6,0,68,0,GENERAL
FEVISTICK5G 1no,OTHERS,15,12,15,0,GENERAL
GOO DYCSHEW,OTHERS,20,16.58,12,0,GENERAL
ALL OUT LIQUID,OTHERS,89,75.65,89,0,GENERAL
FEVI STICK8GM 1no,OTHERS,40,17,20,0,GENERAL
HIMALAYA HONEY300GM,OTHERS,120,1,120,0,GENERAL
HIM ANTI  DANARUFF HAIR OIL 100 ML,OTHERS,64.6,0,68,0,GENERAL
HIM  GENTLE FACE WASH 60 G,OTHERS,37.05,0,39,0,GENERAL
HIM NEEM FACE WASH,OTHERS,63,0,43,0,GENERAL
HIM PROTEIN SHAMPOON 100 ML,OTHERS,68,58.74,68,0,GENERAL
HIM GENTAL FACE WASH GEL,OTHERS,55.1,0,58,0,GENERAL
HIM PROTEIN SHAMPOO,OTHERS,52.25,0,55,0,GENERAL
GOOREJAER PACKET,OTHERS,55,46.82,55,0,GENERAL
HIM  ANTI DANDRUFF SHAMPOO 100 ML,OTHERS,50.35,0,53,0,GENERAL
HIMALAYAGENTLE FACE WASH 100 G,OTHERS,130,113.44,130,0,GENERAL
HIMALAYA REV HAIR OIL,OTHERS,69.35,0,73,0,GENERAL
HIMALAYA DENTAL CREEM 200 ML,OTHERS,65,54.37,65,0,GENERAL
HIMALAYA DENTAL CREEM 100 ML,OTHERS,37.05,0,39,0,GENERAL
CHALK WHITE 1BOX,OTHERS,60,35,60,0,GENERAL
FILE BUTTON(MY CLEARBAG),OTHERS,20,8.5,20,0,GENERAL
MIRROR small,OTHERS,25,13,25,0,GENERAL
KWALITY SEL SHAMELESS700,OTHERS,129,107.5,129,0,GENERAL
FILE L-FOLDER A4,OTHERS,10,5.5,10,0,GENERAL
CAD 5STAR 22.4g,OTHERS,20,9.09,20,0,GENERAL
CAD  5STAR 43g,OTHERS,30,56.79,30,0,GENERAL
PHEN CON LEM 100ml,OTHERS,75,48.75,75,0,GENERAL
PHEN CON LEM 200ml,OTHERS,139,84.5,130,0,GENERAL
PHEN CON LEM 500ml,OTHERS,255,165.75,255,0,GENERAL
ALUMINIUM BOX 250ml,OTHERS,5,0,3,0,GENERAL
FILE,OTHERS,35,9.5,20,0,GENERAL
PREMIER TOILET TISSUE,OTHERS,50,38.46,50,0,GENERAL
CAD SILK BUBBLY130g,OTHERS,175,156.28,175,0,GENERAL
REXONA 150 G,OTHERS,65,58.94,60,0,GENERAL
AASHIRVAAD SELECT1kg,OTHERS,65,53.08,65,0,GENERAL
KARUNJEERAGAM 100g,OTHERS,58,28.5,50,0,GENERAL
CAD PERK29G,OTHERS,10,9.09,10,0,GENERAL
PHENOIL 35LTR,OTHERS,700,630,700,0,GENERAL
DUSTER STICK,OTHERS,140,82.6,140,0,GENERAL
KWALITY FANTASY 120ML,OTHERS,60,50,60,0,GENERAL
THUMSUP500ML,OTHERS,65,51.64,65,0,GENERAL
TREAT MASTI ORANGE 100 G,OTHERS,12.35,0,13,0,GENERAL
KUMBAKONAM 500g,OTHERS,220,175,220,0,GENERAL
KUMBAKONAM 250g,OTHERS,120,95,110,0,GENERAL
DURACELL AA,OTHERS,42,27.33,42,0,GENERAL
CAD SILK CARAMEL60g,OTHERS,80,69.28,80,0,GENERAL
AMUL BUT MILK200ML,OTHERS,12,10.8,12,0,GENERAL
AACHI & PRODUCT  1NO,OTHERS,40,68.62,17,0,GENERAL
AACHI CHICKEN65  50G,OTHERS,30,17.02,30,0,GENERAL
AACHI CHICKEN 50G,OTHERS,28,15,28,0,GENERAL
SUNFEAST SNACK 75 G,OTHERS,6.18,17.7,6.5,0,GENERAL
AACHI CHILLI100g,OTHERS,48,26,59,0,GENERAL
AACHI CURRY      50G,OTHERS,52,32.42,52,0,GENERAL
AACHI IDLY POW50g,OTHERS,18,11.5,18,0,GENERAL
KWALITY F&NUT 70ML,OTHERS,40,33.33,40,0,GENERAL
AACHI MUTTON MAS50g,OTHERS,30,18,30,0,GENERAL
AACHI RASAM POW50g,OTHERS,30,18.25,30,0,GENERAL
AACHI SAMBAR POW50g,OTHERS,25,13.5,25,0,GENERAL
MCVITIES CREAMS70GM,OTHERS,10,13.41,10,0,GENERAL
AASHIRVAAD ATTA1kg,OTHERS,59,51.08,57,0,GENERAL
7UP 200ML,OTHERS,18,15,25,0,GENERAL
SUNFEAST SALT SNACK,OTHERS,5,4.57,5,0,GENERAL
CAKE MUFFINIS 150GM,OTHERS,40,34.78,40,0,GENERAL
KINDER SCHOKO5.8gm,OTHERS,10,8.62,10,0,GENERAL
PAPER BOAT 1LR,OTHERS,120,95,120,0,GENERAL
PREMIER TOI MEDI,OTHERS,40,30.78,40,0,GENERAL
RO FASRITE BLUE,OTHERS,10,8.25,10,0,GENERAL
AACHI IDLY POW100g,OTHERS,34,22.99,34,0,GENERAL
PLASTIC BUN SUN(D)170,OTHERS,298,156,285,0,GENERAL
ACT INST POPCORN 75G,OTHERS,33,22.31,33,0,GENERAL
AGARBATHIES 1no,OTHERS,10,12.5,15,0,GENERAL
AGARBATHIES big,OTHERS,50,41.66,50,0,GENERAL
SUNFEAST CKASSIC SNACK71 G,OTHERS,6.18,0,6.5,0,GENERAL
RAJARAM MIXTURE,OTHERS,27,36,27,0,GENERAL
RAJARAM BOONDI,OTHERS,35,28,35,0,GENERAL
RIN ALA 200ML,OTHERS,36,32.64,33,0,GENERAL
RIN ALA 500ML,OTHERS,74,67.1,74,0,GENERAL
TAPE MEASURE 1NO,OTHERS,12,10,12,0,GENERAL
FEVI KEIK 5mg,OTHERS,5,4.25,5,0,GENERAL
ALLOUT&PRODUCT   1NO,OTHERS,81,165.45,81,0,GENERAL
ALLOUT COIL     1BOX,OTHERS,32,0,20,0,GENERAL
MAGGI COCONUT POWER25GM,OTHERS,30,27.52,30,0,GENERAL
ALLOUT LIQUID   60ML,OTHERS,89,68.56,89,0,GENERAL
SUNFEAST GLUCOSE,OTHERS,2.61,0,2.75,0,GENERAL
FLOOR MAT D.ROOL,OTHERS,110,55,110,0,GENERAL
NB TOILET ROLL 350PULLS,OTHERS,44,22,44,0,GENERAL
PREMIER TISSUE BOX 200/S,OTHERS,145,89.6,140,0,GENERAL
PREMIER KITCHEN TOWEL 2,OTHERS,135,103.85,135,0,GENERAL
PREMIER TISSUE NAPKIN100,OTHERS,70,53.83,70,0,GENERAL
