PMNAME,PMUNIT,PMSARATE,PMPURATE,PMMRRATE,PM_GSTPER,PMGROUP
RO SKETCH PEN,NOS,30,24.02,30,0,GENERAL
RO CD MARKER,NOS,10,7.9,10,0,GENERAL
PEN OCTANE FOUNT,NOS,50,39.51,50,0,GENERAL
PEN B FIRST,NOS,5,3.88,5,0,GENERAL
PEN OCTANE GEL,NOS,10,7.5,10,0,GENERAL
SAVLON 200ML,NOS,90,81.82,90,0,GENERAL
THREPTIN REGULAR275GM,NOS,452,372.79,452,0,GENERAL
THREPTIN LITES 275GM,NOS,445,373,445,0,GENERAL
COLGATE MOUTHWASH250ML,NOS,120,77.33,120,0,GENERAL
ID CURD 400GM,NOS,35,29,35,0,GENERAL
VICKS VAPORUB 10ML,NOS,40,31.07,38,0,GENERAL
VICKS VAPORUB5ML,NOS,20,16.1,20,0,GENERAL
SANTOOR HANDWASH215ML,NOS,70,58.8,70,0,GENERAL
SUNFEAST CAKE ROLL,NOS,10,9.12,10,0,GENERAL
PACKET COVER 1KG,NOS,400,190,390,0,GENERAL
CAD FUSE 48GM,NOS,35,29.89,35,0,GENERAL
M&M CHOCOLATE 75GM,NOS,100,83.46,100,0,GENERAL
KIT KAT 50GM,NOS,55,37,55,0,GENERAL
SNICKERS 240GM,NOS,249,204,249,0,GENERAL
CAD DAIRY HOME126GM,NOS,149,131.7,149,0,GENERAL
SNICKERS 168GM,NOS,149,116,149,0,GENERAL
MUNCH 225GM,NOS,100,72,100,0,GENERAL
HERSHEYS 40GM,NOS,60,48,60,0,GENERAL
HERSHEYS KISSES 33.6G,NOS,140,119,140,0,GENERAL
KIT KAT 126GM,NOS,100,88,100,0,GENERAL
CAD SILK HOME 162GM,NOS,200,161,200,0,GENERAL
ELACHI POWDER 5GM,NOS,30,25,37,0,GENERAL
FEVICOL SHOE FIX 20ML,NOS,40,26.04,40,0,GENERAL
SAVLON DISIN SPRAY 170GM,NOS,159,144.55,159,0,GENERAL
WHITE BOARD,NOS,280,270,280,0,GENERAL
NAGA ATTA 1KG,NOS,62,16,62,0,GENERAL
NAGA SAMBA RAVA500GM,NOS,85,66,85,0,GENERAL
VVD COCONUT 500ML,NOS,200,178.08,200,0,GENERAL
VVD COCONUT 100ML,NOS,40,33,40,0,GENERAL
VVD COCONUT 175ML,NOS,70,58,70,0,GENERAL
DOVE SOAP SET 75GM,NOS,110,102,110,0,GENERAL
CELLO PEN,NOS,6,3.9,6,0,GENERAL
CELLO TIPTOP BALL,NOS,6,7.9,6,0,GENERAL
CELLO BP,NOS,5,3.6,5,0,GENERAL
CELLO DECO GEL,NOS,6,3.75,6,0,GENERAL
CELLO MI GEL,NOS,5,3.65,5,0,GENERAL
CELLO WOW,NOS,6,3.85,6,0,GENERAL
CELLO BUTTER,NOS,10,7.4,10,0,GENERAL
CELLO TIPTOP,NOS,6,3.8,6,0,GENERAL
CELLO TECENO,NOS,10,6.41,10,0,GENERAL
KIWI DRANEX50(6)NO,NOS,135,117.45,135,0,GENERAL
PARLE MILANO 75GM,NOS,35,31.85,35,0,GENERAL
BRIT MILKSHAKE 180ML,NOS,35,23.33,35,0,GENERAL
SAPOTA 1KG,NOS,74,24,68,0,GENERAL
INDIA GATE SELECT 1KG,NOS,128,100.8,128,0,GENERAL
HELL CLASSIC 250ML,NOS,55,45,50,0,GENERAL
VOLINI PAIN RELIEF GEL50G,NOS,165,125.4,165,0,GENERAL
BANANA RED 1KG,NOS,88,38.5,88,0,GENERAL
AACHI RAVA KESARIMIX 200G,NOS,50,40.34,50,0,GENERAL
THUMS UP 2.25LR,NOS,95,76.5,95,0,GENERAL
FANTA 1.25LR,NOS,65,51.17,65,0,GENERAL
